year,maths_wrote,notes,source
2010,263034,DBE NSC School Subject Report (Mathematics wrote),https://www.gov.za/documents/other/national-senior-certificate-examination-schools-subjects-report-02-jan-2013
2011,224635,DBE NSC School Subject Report (Mathematics wrote),https://www.gov.za/documents/other/national-senior-certificate-examination-schools-subjects-report-02-jan-2013
2012,225874,DBE NSC School Subject Report (Mathematics wrote),https://www.gov.za/documents/other/national-senior-certificate-examination-schools-subjects-report-02-jan-2013
2015,263903,DBE NSC School Subject Report (Mathematics wrote),https://www.education.gov.za/NSC2017Reports.aspx
2019,222034,DBE NSC School Subject Report (Mathematics wrote) – summarised in media,https://businesstech.co.za/news/government/365300/alarming-drop-in-students-writing-maths-and-science-in-south-africa/
2021,259143,DBE article citing participation,https://www.education.gov.za/ArchivedDocuments/ArchivedArticles/Class-of-2023-labelled-as-the-strongest-in-terms-of-performance-in-Mathematics-and-Physical-Sciences-1123.aspx
2022,269734,DBE article citing participation,https://www.education.gov.za/ArchivedDocuments/ArchivedArticles/Class-of-2023-labelled-as-the-strongest-in-terms-of-performance-in-Mathematics-and-Physical-Sciences-1123.aspx
2023,262016,DBE schools subject/diagnostic reporting – widely cited figure,https://businesstech.co.za/news/government/822829/hundreds-of-south-african-schools-dont-offer-mathematics/
2024,255762,Registrations for Mathematics (not final wrote) – media citing DBE,https://businesstech.co.za/news/government/822829/hundreds-of-south-african-schools-dont-offer-mathematics/
